13685,p,38,2,0,21,39,35,2,23,31,0
14491,6,39,36,0,29,0,17,37,36,24,0
1779,comma,39,1,2,13,5,0,0,1,33,36
12525,a,39,29,0,13,1,21,1,13,0,36
14491,6,34,1,2,14,2,28,0,21,33,36
43151,e,2,12,1,14,1,4,0,25,2,23
24001,^,33,35,37,32,38,28,2,15,36,0
37645,3,38,33,37,1,36,9,11,0,1,5
26257,u,1,14,40,19,34,2,0,29,39,22
19760,b,28,0,1,12,2,14,38,36,2,13
26391,y,26,10,24,1,40,32,1,14,36,1
27311,w,2,15,29,0,26,9,0,9,38,15
20215,1,39,24,0,14,2,1,2,10,0,5
43151,e,40,31,2,11,0,30,2,13,2,19
17759,f,2,13,23,1,40,20,37,0,36,9
2118,t,27,0,34,1,34,1,40,0,13,0
38986,s,38,32,40,21,1,20,39,31,40,27
38986,s,35,2,0,12,39,29,37,27,0,4
38986,s,0,33,10,0,38,16,0,29,0,22
43151,e,0,22,40,21,0,13,2,13,2,19
17759,f,1,31,32,36,0,23,38,32,1,29
26257,u,40,31,31,36,40,26,38,29,0,0
13685,p,39,30,0,27,1,5,0,27,0,35
17759,f,0,32,0,2,2,15,38,35,2,14
42244,m,2,31,39,26,38,35,37,31,36,9
1779,comma,39,0,1,32,38,32,1,18,0,21
30045,h,40,2,36,0,1,10,38,32,1,0
30045,h,37,28,38,25,1,31,39,23,34,35
23117,n,0,30,27,0,1,33,0,33,39,12
26257,u,0,1,2,10,37,31,37,29,1,2
870,J,35,35,36,0,2,13,2,1,0,35
13685,p,39,1,2,18,26,10,1,21,34,36
17759,f,39,32,23,0,36,35,33,1,2,2
30045,h,2,32,23,1,26,10,40,19,40,27
26391,y,38,31,0,6,40,24,15,0,38,0
27964,.,39,26,26,10,39,35,1,22,34,0
1424,i,2,32,30,0,40,32,38,29,39,29
26391,y,2,18,37,0,30,0,2,12,40,1
38986,s,39,24,0,22,1,23,2,20,38,1
23117,n,0,8,2,14,1,0,34,0,0,17
26903,,39,35,2,14,35,36,38,32,40,23
26003,l,39,31,40,29,2,30,1,24,0,19
19760,b,40,19,1,14,39,24,39,22,34,35
27311,w,1,13,39,30,38,36,1,21,1,19
27311,w,39,23,39,22,1,10,0,5,36,0
30414,o,0,19,19,0,37,35,1,23,1,15
1682,,39,20,27,0,0,7,0,28,38,1
23117,n,25,0,35,1,26,10,40,36,33,36
20215,1,0,15,5,0,10,0,40,28,38,2
35590,E,27,0,39,24,0,29,0,36,25,1
37645,3,24,1,3,0,29,0,0,10,37,29
20215,1,23,1,37,36,40,1,38,15,0,23
36592,c,26,10,37,28,1,20,39,31,0,8
26391,y,1,22,38,33,35,36,0,5,30,0
14491,6,39,35,36,2,39,13,38,16,2,28
43151,e,37,31,0,14,40,31,34,0,37,32
27964,.,0,14,40,35,1,13,0,10,1,32
21026,r,2,29,39,2,40,25,1,24,40,31
14491,6,40,35,2,13,40,30,2,28,1,18
43151,e,26,10,0,28,36,2,28,0,39,12
1682,,1,13,37,2,0,12,10,1,1,29
43151,e,38,1,38,2,2,22,2,32,29,1
36592,c,33,36,2,31,0,17,1,19,39,1
43151,e,1,20,34,1,39,24,2,1,1,21
42244,m,10,1,40,23,2,18,36,7,24,0
1682,,40,26,40,1,0,10,38,25,0,12
11574,I,1,20,40,19,13,0,1,18,4,0
